Occupation title (click on the occupation title to view its profile),Annual mean wage
"Bailiffs, Correctional Officers, and Jailers","53,380"
Bailiffs,"52,340"
Correctional Officers and Jailers,"53,420"
Detectives and Criminal Investigators,"90,370"
Fish and Game Wardens,"58,190"
Parking Enforcement Workers,"46,050"
Police Officers,"70,740"
Police and Sheriff's Patrol Officers,"70,750"
Transit and Railroad Police,"69,570"
Other Protective Service Workers,"36,280"
Animal Control Workers,"42,620"
Private Detectives and Investigators,"60,970"
Security Guards and Gambling Surveillance Officers,"35,860"
Gambling Surveillance Officers and Gambling Investigators,"38,080"
Security Guards,"35,830"
Miscellaneous Protective Service Workers,"35,450"
Crossing Guards and Flaggers,"35,670"
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","27,320"
Transportation Security Screeners,"46,380"
School Bus Monitors,"30,220"
"Protective Service Workers, All Other","42,160"
Food Preparation and Serving Related Occupations,"29,450"
Supervisors of Food Preparation and Serving Workers,"41,130"
Chefs and Head Cooks,"56,920"
First-Line Supervisors of Food Preparation and Serving Workers,"39,150"
Cooks and Food Preparation Workers,"29,380"
Cooks,"29,560"
"Cooks, Fast Food","25,490"
"Cooks, Institution and Cafeteria","31,520"
"Cooks, Private Household","43,260"
"Cooks, Restaurant","31,630"
"Cooks, Short Order","28,110"
"Cooks, All Other","33,390"
Food Preparation Workers,"28,810"
Food and Beverage Serving Workers,"27,520"
Bartenders,"30,340"
Fast Food and Counter Workers,"26,060"
Waiters and Waitresses,"29,010"
"Food Servers, Nonrestaurant","29,500"
Other Food Preparation and Serving Related Workers,"27,170"
Dining Room and Cafeteria Attendants and Bartender Helpers,"27,690"
Dishwashers,"27,350"
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","26,000"
"Food Preparation and Serving Related Workers, All Other","28,760"
Building and Grounds Cleaning and Maintenance Occupations,"33,750"
First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,"48,620"
First-Line Supervisors of Housekeeping and Janitorial Workers,"45,100"
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","53,270"
Building Cleaning and Pest Control Workers,"31,590"
Building Cleaning Workers,"31,310"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","31,860"
Maids and Housekeeping Cleaners,"29,580"
"Building Cleaning Workers, All Other","38,530"
Pest Control Workers,"40,640"
Grounds Maintenance Workers,"35,960"
Landscaping and Groundskeeping Workers,"35,240"
"Pesticide Handlers, Sprayers, and Applicators, Vegetation","40,500"
Tree Trimmers and Pruners,"47,450"
"Grounds Maintenance Workers, All Other","39,120"
Personal Care and Service Occupations,"33,620"
Supervisors of Personal Care and Service Workers,"46,950"
First-Line Supervisors of Entertainment and Recreation Workers,"48,370"
First-Line Supervisors of Gambling Services Workers,"52,590"
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services","47,130"
First-Line Supervisors of Personal Service Workers,"45,730"
Animal Care and Service Workers,"30,100"
Animal Trainers,"38,230"
Animal Caretakers,"29,520"
Entertainment Attendants and Related Workers,"27,170"
Gambling Services Workers,"29,340"
Gambling Dealers,"28,960"
Gambling and Sports Book Writers and Runners,"29,110"
"Gambling Service Workers, All Other","31,790"
Motion Picture Projectionists,"32,970"
"Ushers, Lobby Attendants, and Ticket Takers","26,390"
Miscellaneous Entertainment Attendants and Related Workers,"26,650"
Amusement and Recreation Attendants,"26,110"
Costume Attendants,"54,590"
"Locker Room, Coatroom, and Dressing Room Attendants","30,220"
"Entertainment Attendants and Related Workers, All Other","29,680"
Funeral Service Workers,"42,800"
Embalmers and Crematory Operators,"47,350"
Embalmers,"51,210"
Crematory Operators,"39,660"
Funeral Attendants,"31,630"
"Morticians, Undertakers, and Funeral Arrangers","56,360"
Personal Appearance Workers,"35,350"
"Barbers, Hairdressers, Hairstylists and Cosmetologists","35,980"
Barbers,"35,700"
"Hairdressers, Hairstylists, and Cosmetologists","35,990"
Miscellaneous Personal Appearance Workers,"34,310"
"Makeup Artists, Theatrical and Performance","124,380"
Manicurists and Pedicurists,"30,480"
Shampooers,"25,160"
Skincare Specialists,"41,700"
"Baggage Porters, Bellhops, and Concierges","34,680"
Baggage Porters and Bellhops,"30,040"
Concierges,"37,520"
Tour and Travel Guides,"33,200"
Other Personal Care and Service Workers,"33,260"
